YearsFromRegistration,powerPS,kilometer,abtest_test,vehicleType_cabrio,vehicleType_coupe,vehicleType_limousine,vehicleType_others,vehicleType_small car,vehicleType_station wagon,vehicleType_suv,fuelType_diesel,fuelType_electro,fuelType_hybrid,fuelType_lpg,fuelType_other,fuelType_petrol,gearbox_manual,notRepairedDamage_yes,brand_encoded,monthOfRegistration_Q2,monthOfRegistration_Q3,monthOfRegistration_Q4,price
20,150,150000,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,4450
18,163,150000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,39,1,0,0,13299
20,101,150000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,38,0,0,1,3200
17,86,60000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,30,0,0,1,4500
15,185,150000,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,39,0,0,1,18750
28,90,150000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,38,0,0,0,988
27,110,150000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,24,1,0,0,400
26,136,150000,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,20,0,0,1,1399
18,122,150000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,24,0,0,1,4680
18,140,125000,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,31,1,0,0,8340
22,82,150000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,20,0,0,0,1870
22,105,125000,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,24,1,0,0,2500
22,68,150000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,36,0,1,0,990
20,83,125000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,24,1,0,0,2200
24,140,150000,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,39,0,0,0,1600
30,101,150000,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,23,0,0,1,1300
21,125,150000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,33,0,1,0,4100
31,88,150000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,19,0,1,0,680
28,75,150000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,38,1,0,0,1599
27,75,150000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,38,0,0,0,1000
24,75,150000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,22,0,0,0,1100
32,133,150000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,3999
20,60,150000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,9,0,0,1,1290
17,88,125000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,23,0,0,0,3900
23,155,150000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,700
